name,lat,lng,max_temp,percent_humidity,percent_cloudiness,wind_speed,current_description
marin,38.0666,-122.7344,286.48,66,1,2.06,clear sky
deputatskiy,69.3,139.9,242.34,84,38,1.18,scattered clouds
saldanha,-33.0117,17.9442,290.15,72,0,4.12,clear sky
nelson,-41.2833,173.2833,299.26,48,83,1.79,broken clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
skibbereen,51.55,-9.2667,275.15,69,90,8.75,overcast clouds
ilulissat,69.2167,-51.1,267.15,38,0,8.75,clear sky
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
souillac,-20.5167,57.5167,299.15,83,40,2.57,light rain
vostok,46.4856,135.8833,252.38,89,100,2.18,overcast clouds
praia da vitoria,38.7333,-27.0667,287.04,82,20,5.08,few clouds
kavieng,-2.5744,150.7967,302.6,70,26,3.52,scattered clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
bluff,-46.6,168.3333,291.03,62,100,3.92,moderate rain
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
gien,47.6933,2.6309,274.26,98,32,2.48,scattered clouds
flinders,-34.5833,150.8552,295.37,72,54,1.79,broken clouds
acarau,-2.8856,-40.12,299.55,83,50,5.68,scattered clouds
mataura,-46.1927,168.8643,298.03,33,98,1.4,moderate rain
jamestown,42.097,-79.2353,262.59,72,90,4.63,light snow
souillac,-20.5167,57.5167,299.15,83,40,2.57,light rain
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
buala,-8.145,159.5921,303.23,71,99,4.33,light rain
walvis bay,-22.9575,14.5053,290.37,88,97,5.66,overcast clouds
tignere,7.3667,12.65,290.98,27,97,0.91,overcast clouds
maracaibo,10.6317,-71.6406,300.13,71,26,5.47,scattered clouds
port elizabeth,-33.918,25.5701,291.15,82,0,4.63,clear sky
tiksi,71.6872,128.8694,239.2,86,73,2.36,broken clouds
dingle,10.9995,122.6711,297.5,92,100,5.07,overcast clouds
airai,-8.9266,125.4092,294.97,85,100,1.77,overcast clouds
albany,42.6001,-73.9662,268.71,54,43,3.58,scattered clouds
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
